;Indice;Indice_single;Domanda ChatGTP;Risposta ChatGTP;Valutazione ChatGTP;Answer_ChatBot_Model_dot_base;Valutazione_ChatBot_Model_dot_base;Answer_ChatBot_Model_big_all;AnswerStile_Divisione=Periodo_Global=True_Dot=True_Weight=True;Valutazione_Stile_Divisione=Periodo_Global=True_Dot=True_Weight=True;Answer_Stile_Divisione=Periodo_Global=False_Dot=True_Weight=True;Valutazione_Stile_Divisione=Periodo_Global=False_Dot=True_Weight=True
0;0;0;What information is provided at check-in regarding Pool and Fitness Room hours and guidelines?;Pool and Fitness Room hours and guidelines are provided at check-in.;G; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;G; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;G; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;G
1;0;1;Who is responsible for the safety and welfare of the youth according to the guidelines?;The adult(s) are responsible for the safety and welfare of the youth according to the guidelines.;G;  As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable. Please take a few moments to review them and share the information with team members. ;G;  As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable. Please take a few moments to review them and share the information with team members. ;  As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable. Please take a few moments to review them and share the information with team members. ;G;  As the adult(s) are responsible for safety and welfare of the youth, we think that you will find these guidelines helpful and reasonable. Please take a few moments to review them and share the information with team members. ;G
2;0;2;What is the specified purpose of using elevators in the hotel?;Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel.;G; Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel. Misuse and horseplay will not be allowed.;G; Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel. Misuse and horseplay will not be allowed.; Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel. Misuse and horseplay will not be allowed.;G; Elevators are to be used for the sole purpose of transporting guests and their luggage to the appropriate floor of the hotel. Misuse and horseplay will not be allowed.;G
3;0;3;Is there a dress code for the food and beverage areas in the hotel?;Yes, there is a dress code for the food and beverage areas in the hotel.;G; There is a dress code for the food and beverage areas in the hotel. Shoes and shirts must be worn at all times.;G; There is a dress code for the food and beverage areas in the hotel. Shoes and shirts must be worn at all times.; There is a dress code for the food and beverage areas in the hotel. Shoes and shirts must be worn at all times.;G; There is a dress code for the food and beverage areas in the hotel. Shoes and shirts must be worn at all times.;G
4;0;4;Where can towels for the Fitness Room and Pool be found?;Towels for the Fitness Room and Pool are located in those areas.;G; Towels for the Fitness Room and Pool are located in those areas. Towels from guest rooms are not to be taken to the Pool or Fitness Room.;G; Towels for the Fitness Room and Pool are located in those areas. Towels from guest rooms are not to be taken to the Pool or Fitness Room.; Towels for the Fitness Room and Pool are located in those areas. Towels from guest rooms are not to be taken to the Pool or Fitness Room.;G; Towels for the Fitness Room and Pool are located in those areas. Towels from guest rooms are not to be taken to the Pool or Fitness Room.;G
5;0;5;What is the consequence for smoking in a non-smoking room?;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G;Smoking in a non-smoking room will result in an additional $250.00 cleaning charge.;G
6;0;6;How are the rules and times for the Pool and Fitness Room enforced?;All rules and times for the Pool and Fitness Room will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;S; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;G; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;G; Pool and Fitness Room hours and guidelines are provided at check in. All rules and times will be enforced to allow efficient operation of the hotel and for the comfort and safety of all guests.;G
7;0;7;What is the consequence for a guest in violation of the rules?;Any guest in violation of these rules may be asked to leave the hotel with no refund.;G; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.;G; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.;G; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.;G
8;0;8;Are room keys issued to youth under 18 at any time?;No, room keys will not be issued to youth under 18 at any time.;G;Room keys will be given to chaperones/coaches at check-in only. No room keys will be issued to youth under 18 at any time.;G;Room keys will be given to chaperones/coaches at check-in only. No room keys will be issued to youth under 18 at any time.;Room keys will be given to chaperones/coaches at check-in only. No room keys will be issued to youth under 18 at any time.;G;Room keys will be given to chaperones/coaches at check-in only. No room keys will be issued to youth under 18 at any time.;G
9;0;9;Where can guests obtain extra copies of these rules if needed?;Extra copies of these rules are available at the Front Desk upon request.;G; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.;G; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.;G; Any guest in violation of these rules may be asked to leave the hotel with no refund. Extra copies of these rules are available at the Front Desk upon request.;G
